Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
41681.8 1200.28 639.517 1.57069 0.000103642 2.86155e-05 -1.44099e-09 2.86155e-05 0.104073 6.00802e-09 -1.44099e-09 6.00802e-09 2.15976e-11  
41681.8 1200.28 640.305 1.57069 0.000105185 2.82304e-05 -1.47828e-09 2.82304e-05 0.104389 6.02625e-09 -1.47828e-09 6.02625e-09 2.15976e-11  
41681.8 1200.28 641.073 1.57069 0.00010673 2.7862e-05 -1.51559e-09 2.7862e-05 0.104698 6.04404e-09 -1.51559e-09 6.04404e-09 2.15976e-11  
41681.8 1200.39 435.64 1.57063 0.0001098 1.36596e-05 -1.58646e-09 1.36596e-05 0.0515831 -2.04005e-09 -1.58646e-09 -2.04005e-09 2.15953e-11  
41681.8 1200.39 435.713 1.57063 0.000111333 1.34787e-05 -1.62356e-09 1.34787e-05 0.0516516 -2.04278e-09 -1.62356e-09 -2.04278e-09 2.15953e-11  
41682.8 1200.4 435.807 1.57039 0.000112865 1.3576e-05 -1.66042e-09 1.3576e-05 0.0517179 -2.04865e-09 -1.66042e-09 -2.04865e-09 2.16297e-11  
41682.8 1200.4 435.878 1.57038 0.000114405 1.35903e-05 -1.69763e-09 1.35903e-05 0.0517829 -2.05123e-09 -1.69763e-09 -2.05123e-09 2.16297e-11  
41682.8 1200.62 328.974 1.57053 0.000118585 9.26919e-06 -1.79789e-09 9.26919e-06 0.0353878 -6.32507e-09 -1.79789e-09 -6.32507e-09 2.16596e-11  
41682.8 1200.63 329.01 1.57028 0.000120114 9.35023e-06 -1.83467e-09 9.35023e-06 0.0354148 -6.34086e-09 -1.83467e-09 -6.34086e-09 2.16972e-11  
41682.8 1200.63 328.971 1.57028 0.000121647 9.36963e-06 -1.8718e-09 9.36963e-06 0.0354413 -6.3456e-09 -1.8718e-09 -6.3456e-09 2.16972e-11  
41682.8 1200.03 512.588 1.57078 0.000129659 0.000160991 -2.02735e-09 0.000160991 0.666337 -2.20887e-12 -2.02735e-09 -2.20887e-12 2.17475e-11  
41682.8 1200.03 514.257 1.57054 0.000131192 0.000164134 -2.06469e-09 0.000164134 0.674726 -2.23505e-12 -2.06469e-09 -2.23505e-12 2.17824e-11  
41682.8 1200.03 515.925 1.57079 0.000132667 0.00016309 -2.10206e-09 0.00016309 0.683108 -2.26884e-12 -2.10206e-09 -2.26884e-12 2.18188e-11  
41682.8 1200.03 517.733 1.57078 0.000134582 0.000163168 -2.14266e-09 0.000163168 0.692195 -2.30307e-12 -2.14266e-09 -2.30307e-12 2.18189e-11  
41682.8 1200.25 532.249 1.57046 0.000137739 3.01481e-05 -2.20987e-09 3.01481e-05 0.125519 5.75433e-10 -2.20987e-09 5.75433e-10 2.19918e-11  
41682.8 1200.26 532.575 1.5707 0.000139298 2.96783e-05 -2.24818e-09 2.96783e-05 0.125783 5.77541e-10 -2.24818e-09 5.77541e-10 2.20272e-11  
41682.8 1200.26 532.887 1.5707 0.000140847 2.94052e-05 -2.28625e-09 2.94052e-05 0.12604 5.78703e-10 -2.28625e-09 5.78703e-10 2.20272e-11  
41682.8 1200.26 533.183 1.5705 0.000142359 2.95913e-05 -2.3238e-09 2.95913e-05 0.126289 5.80526e-10 -2.3238e-09 5.80526e-10 2.20526e-11  
41683.8 1200.34 458.068 1.57069 0.000145724 1.56436e-05 -2.39945e-09 1.56436e-05 0.0664895 -2.58004e-09 -2.39945e-09 -2.58004e-09 2.20887e-11  
41683.8 1200.34 458.144 1.57069 0.000147271 1.54894e-05 -2.43755e-09 1.54894e-05 0.0665548 -2.58258e-09 -2.43755e-09 -2.58258e-09 2.20887e-11  
41683.8 1200.83 466.05 1.50879 0.000470578 0.000235211 -6.87244e-11 0.000235211 0.0667669 -2.07578e-07 -6.87244e-11 -2.07578e-07 1.78272e-09  
41683.8 1200.72 460.696 1.55527 0.000450951 0.000298146 4.66188e-09 0.000298146 0.0667272 -4.04121e-07 4.66188e-09 -4.04121e-07 3.48092e-09  
41683.8 1200.77 329.028 1.54698 0.000460899 0.000403403 -3.22157e-08 0.000403403 0.0937668 -1.26635e-06 -3.22157e-08 -1.26635e-06 3.42749e-09  
41683.8 1200.82 328.963 1.54697 0.000462654 0.000402017 -3.80375e-08 0.000402017 0.0938736 -1.26777e-06 -3.80375e-08 -1.26777e-06 3.4273e-09  
41683.8 1200.87 328.901 1.54695 0.000464442 0.000400701 -4.38765e-08 0.000400701 0.0939788 -1.26916e-06 -4.38765e-08 -1.26916e-06 3.42711e-09  
41683.8 1200.92 328.927 1.5467 0.000466289 0.000399787 -4.97614e-08 0.000399787 0.0940829 -1.27054e-06 -4.97614e-08 -1.27054e-06 3.42694e-09  
41684.8 1202.09 302.07 1.53559 0.000477367 0.000240696 -8.51881e-08 0.000240696 0.0538096 -1.5168e-06 -8.51881e-08 -1.5168e-06 3.35449e-09  
41684.8 1202.16 302.142 1.53532 0.000479243 0.000241692 -9.07962e-08 0.000241692 0.0538382 -1.51752e-06 -9.07962e-08 -1.51752e-06 3.35424e-09  
41684.8 1202.23 301.992 1.53554 0.000481318 0.000242498 -9.66326e-08 0.000242498 0.0538675 -1.51825e-06 -9.66326e-08 -1.51825e-06 3.35398e-09  
41684.8 1200.27 586.586 1.56812 0.000507093 0.00347504 -1.40873e-07 0.00347504 0.96746 8.65359e-08 -1.40873e-07 8.65359e-08 3.56003e-09  
41684.8 1200.27 588.369 1.56788 0.000509198 0.00347737 -1.47084e-07 0.00347737 0.975843 8.73229e-08 -1.47084e-07 8.73229e-08 3.56006e-09  
41684.8 1200.28 590.146 1.56787 0.00051126 0.00347866 -1.53252e-07 0.00347866 0.984166 8.81038e-08 -1.53252e-07 8.81038e-08 3.56006e-09  
41684.8 1200.76 392.604 1.55029 0.000524714 0.000763702 -1.77324e-07 0.000763702 0.19303 -1.19891e-06 -1.77324e-07 -1.19891e-06 3.55387e-09  
41684.8 1200.82 390.155 1.55755 0.000528981 0.000752951 -1.86075e-07 0.000752951 0.19346 -1.21254e-06 -1.86075e-07 -1.21254e-06 3.58603e-09  
41685.8 1200.34 608.095 1.5681 0.000550167 0.00371572 -2.15495e-07 0.00371572 1.07301 8.76207e-08 -2.15495e-07 8.76207e-08 3.6572e-09  
41685.8 1200.34 609.863 1.56835 0.000552372 0.00371394 -2.21755e-07 0.00371394 1.0813 8.83226e-08 -2.21755e-07 8.83226e-08 3.65724e-09  
41685.8 1200.35 611.946 1.56835 0.000555744 0.0037131 -2.2916e-07 0.0037131 1.0911 8.91511e-08 -2.2916e-07 8.91511e-08 3.65723e-09  
41685.8 1201.66 403.545 1.54815 0.000552682 0.000446607 -2.30425e-07 0.000446607 0.106191 -1.25798e-06 -2.30425e-07 -1.25798e-06 3.56922e-09  
41685.8 1201.73 401.965 1.55266 0.000556835 0.000444183 -2.38592e-07 0.000444183 0.106296 -1.26358e-06 -2.38592e-07 -1.26358e-06 3.58143e-09  
