Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
59175.1 1200.01 421.106 1.57081 3.23692e-05 4.64718e-05 -2.47243e-10 4.64718e-05 0.205532 3.63799e-14 -2.47243e-10 3.63799e-14 7.21297e-12  
59175.1 1200.01 422.821 1.57054 3.38937e-05 4.98243e-05 -2.59612e-10 4.98243e-05 0.214106 3.78516e-14 -2.59612e-10 3.78516e-14 7.25659e-12  
59176.1 1200.01 424.537 1.5708 3.53607e-05 4.87349e-05 -2.72064e-10 4.87349e-05 0.222685 3.94191e-14 -2.72064e-10 3.94191e-14 7.295e-12  
59176.1 1200.01 426.27 1.5708 3.69009e-05 4.86732e-05 -2.84706e-10 4.86732e-05 0.23135 3.9382e-14 -2.84706e-10 3.9382e-14 7.29501e-12  
59176.1 1200.01 427.953 1.57053 3.83433e-05 5.20803e-05 -2.96984e-10 5.20803e-05 0.239765 4.10023e-14 -2.96984e-10 4.10023e-14 7.33891e-12  
59176.1 1200.01 429.652 1.57056 3.97931e-05 5.40095e-05 -3.09454e-10 5.40095e-05 0.248261 4.41688e-14 -3.09454e-10 4.41688e-14 7.33933e-12  
59176.1 1200.01 431.335 1.57078 4.11811e-05 5.32594e-05 -3.21807e-10 5.32594e-05 0.256677 4.57734e-14 -3.21807e-10 4.57734e-14 7.36808e-12  
59176.1 1200.01 433.068 1.5708 4.27183e-05 5.30635e-05 -3.34575e-10 5.30635e-05 0.265341 4.58483e-14 -3.34575e-10 4.58483e-14 7.36856e-12  
59176.1 1200.01 434.8 1.57079 4.42575e-05 5.32086e-05 -3.47334e-10 5.32086e-05 0.273999 4.58483e-14 -3.47334e-10 4.58483e-14 7.36872e-12  
59176.1 1200.01 436.532 1.57079 4.57955e-05 5.3205e-05 -3.60098e-10 5.3205e-05 0.282659 4.59178e-14 -3.60098e-10 4.59178e-14 7.36874e-12  
59176.1 1200.01 438.248 1.57055 4.73215e-05 5.63427e-05 -3.72746e-10 5.63427e-05 0.291242 4.74831e-14 -3.72746e-10 4.74831e-14 7.40321e-12  
59176.1 1200.01 440.16 1.57077 4.93578e-05 5.55218e-05 -3.86897e-10 5.55218e-05 0.300798 4.93686e-14 -3.86897e-10 4.93686e-14 7.43196e-12  
59176.1 1200.01 441.909 1.57055 5.09698e-05 5.86699e-05 -3.99896e-10 5.86699e-05 0.309544 5.11338e-14 -3.99896e-10 5.11338e-14 7.46159e-12  
59176.1 1200.01 443.592 1.57079 5.23553e-05 5.7745e-05 -4.12454e-10 5.7745e-05 0.317958 5.27319e-14 -4.12454e-10 5.27319e-14 7.49534e-12  
59176.1 1200.01 445.324 1.57079 5.38953e-05 5.78067e-05 -4.2544e-10 5.78067e-05 0.326621 5.28353e-14 -4.2544e-10 5.28353e-14 7.49534e-12  
59176.1 1200.01 447.072 1.57055 5.55061e-05 6.09686e-05 -4.38543e-10 6.09686e-05 0.335361 5.44837e-14 -4.38543e-10 5.44837e-14 7.52816e-12  
59176.1 1200.01 448.854 1.57027 5.72186e-05 6.68851e-05 -4.51955e-10 6.68851e-05 0.344269 5.96319e-14 -4.51955e-10 5.96319e-14 7.57452e-12  
59176.1 1200.01 450.587 1.5708 5.86987e-05 6.45787e-05 -4.65081e-10 6.45787e-05 0.352932 6.29446e-14 -4.65081e-10 6.29446e-14 7.74051e-12  
59176.1 1200.01 452.253 1.57078 6.00729e-05 6.47952e-05 -4.77984e-10 6.47952e-05 0.361267 6.29987e-14 -4.77984e-10 6.29987e-14 7.7408e-12  
59176.1 1200.01 453.953 1.57079 6.1525e-05 6.48059e-05 -4.91137e-10 6.48059e-05 0.369763 6.31365e-14 -4.91137e-10 6.31365e-14 7.74085e-12  
59176.1 1200.01 455.637 1.57054 6.29679e-05 6.79873e-05 -5.04174e-10 6.79873e-05 0.378183 6.48319e-14 -5.04174e-10 6.48319e-14 7.77701e-12  
59177.1 1200.01 457.333 1.57057 6.44111e-05 6.975e-05 -5.17367e-10 6.975e-05 0.386665 6.7972e-14 -5.17367e-10 6.7972e-14 7.77755e-12  
59177.1 1200.01 459.215 1.5708 6.63536e-05 6.86037e-05 -5.32004e-10 6.86037e-05 0.396075 6.95415e-14 -5.32004e-10 6.95415e-14 7.80898e-12  
59177.1 1200.01 461.176 1.57078 6.85901e-05 6.88748e-05 -5.47317e-10 6.88748e-05 0.40588 6.96056e-14 -5.47317e-10 6.96056e-14 7.8093e-12  
59177.1 1200.01 462.941 1.57079 7.02182e-05 6.88601e-05 -5.61102e-10 6.88601e-05 0.414706 6.97443e-14 -5.61102e-10 6.97443e-14 7.80939e-12  
59177.1 1200.02 464.625 1.57055 7.16595e-05 7.19837e-05 -5.7425e-10 7.19837e-05 0.423124 7.14097e-14 -5.7425e-10 7.14097e-14 7.84458e-12  
59177.1 1200.02 466.357 1.57051 7.32041e-05 7.46434e-05 -5.87837e-10 7.46434e-05 0.431783 7.50477e-14 -5.87837e-10 7.50477e-14 7.8455e-12  
59177.1 1200.02 468.106 1.57081 7.47543e-05 7.32473e-05 -6.0156e-10 7.32473e-05 0.440529 7.69259e-14 -6.0156e-10 7.69259e-14 7.89846e-12  
59177.1 1200.02 469.837 1.57079 7.62939e-05 7.34396e-05 -6.15233e-10 7.34396e-05 0.449185 7.69202e-14 -6.15233e-10 7.69202e-14 7.89877e-12  
59177.1 1200.02 471.586 1.57054 7.79092e-05 7.682e-05 -6.29047e-10 7.682e-05 0.457929 7.88036e-14 -6.29047e-10 7.88036e-14 7.93567e-12  
59177.1 1200.02 473.287 1.57054 7.93668e-05 7.89826e-05 -6.42544e-10 7.89826e-05 0.466432 8.2293e-14 -6.42544e-10 8.2293e-14 7.93568e-12  
59177.1 1200.02 475.001 1.57079 8.08325e-05 7.80012e-05 -6.56151e-10 7.80012e-05 0.475005 8.40871e-14 -6.56151e-10 8.40871e-14 7.97209e-12  
